epoch,learning_rate,loss,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.0010000000474974513,70.57942199707031,6.070017337799072,69.88243103027344,8.35957145690918,67.68494415283203,5.902841567993164,67.01151275634766,8.186056137084961
1,0.0010000000474974513,67.68254089355469,5.920156478881836,67.01539611816406,8.186293601989746,66.92341613769531,5.85128116607666,66.26014709472656,8.140033721923828
2,0.0010000000474974513,66.87226104736328,5.8726348876953125,66.19806671142578,8.136219024658203,66.43942260742188,5.796535015106201,65.75438690185547,8.108907699584961
3,0.0010000000474974513,66.44419860839844,5.840602397918701,65.74332427978516,8.10822582244873,66.34567260742188,5.75788688659668,65.63449096679688,8.10151195526123
4,0.0010000000474974513,65.76005554199219,5.7972588539123535,65.03052520751953,8.0641508102417,65.5981216430664,5.7514967918396,64.85045623779297,8.052978515625
5,0.0010000000474974513,65.38063049316406,5.775667190551758,64.61393737792969,8.03827953338623,65.7102279663086,5.730113983154297,64.92876434326172,8.057838439941406
6,0.0010000000474974513,64.94984436035156,5.746152877807617,64.1487045288086,8.009288787841797,65.4831771850586,5.729509353637695,64.66236877441406,8.041291236877441
7,0.0010000000474974513,64.6705093383789,5.729540824890137,63.82980728149414,7.98935604095459,65.47411346435547,5.735157489776611,64.61575317382812,8.038392066955566
8,0.0010000000474974513,64.26350402832031,5.702588081359863,63.38242721557617,7.961308002471924,65.44674682617188,5.708724498748779,64.54740905761719,8.034140586853027
9,0.0010000000474974513,63.778446197509766,5.679394721984863,62.8571891784668,7.928252696990967,65.74491119384766,5.7125959396362305,64.8023910522461,8.049993515014648
10,0.0010000000474974513,63.468414306640625,5.658803462982178,62.50098419189453,7.90575647354126,65.76593017578125,5.710268974304199,64.77726745605469,8.048432350158691
11,0.0010000000474974513,62.99674606323242,5.627509593963623,61.98625183105469,7.873134613037109,65.53422546386719,5.707641124725342,64.50445556640625,8.031466484069824
12,0.0010000000474974513,62.57466506958008,5.607899188995361,61.51874542236328,7.843388557434082,65.86976623535156,5.705970287322998,64.79365539550781,8.049450874328613
13,0.0010000000474974513,62.22981262207031,5.587856292724609,61.12604522705078,7.818314552307129,65.7673110961914,5.674924850463867,64.63983154296875,8.03989028930664
14,0.0005000000237487257,60.82905197143555,5.515161037445068,59.70009994506836,7.726583957672119,65.78207397460938,5.677569389343262,64.65280151367188,8.040696144104004
15,0.0005000000237487257,60.28750228881836,5.488707065582275,59.15363311767578,7.6911396980285645,65.80884552001953,5.706162929534912,64.6721420288086,8.041898727416992
16,0.0005000000237487257,59.88651657104492,5.470486640930176,58.74398422241211,7.664462566375732,65.9590835571289,5.703794479370117,64.81068420410156,8.050508499145508
17,0.0005000000237487257,59.26237106323242,5.443708419799805,58.10633087158203,7.622750759124756,66.76935577392578,5.71205472946167,65.60552215576172,8.099723815917969
18,0.0005000000237487257,59.09258270263672,5.429433345794678,57.92100143432617,7.610584735870361,66.52104187011719,5.727525234222412,65.34281921386719,8.083490371704102
19,0.0002500000118743628,58.115570068359375,5.384714126586914,56.93638610839844,7.545620441436768,66.9869613647461,5.74274206161499,65.80707550048828,8.11215591430664
20,0.0002500000118743628,57.800418853759766,5.371078014373779,56.61832046508789,7.524514675140381,67.22232818603516,5.755248546600342,66.03926086425781,8.12645435333252
21,0.0002500000118743628,57.65169143676758,5.354919910430908,56.466331481933594,7.514408111572266,67.34104919433594,5.7444915771484375,66.15418243408203,8.133522033691406
22,0.0002500000118743628,57.4266357421875,5.340911388397217,56.237606048583984,7.499173641204834,67.1131591796875,5.750080585479736,65.9219970703125,8.11923599243164
23,0.0002500000118743628,57.06463623046875,5.329737186431885,55.870174407958984,7.474635601043701,67.22921752929688,5.745593547821045,66.03253173828125,8.1260404586792
